ID,Region of residence,Age of Subject,Time spent on Online Class,Rating of Online Class experience,Medium for online class,Time spent on self study,Time spent on fitness,Time spent on sleep,Time spent on social media,Prefered social media platform,Time spent on TV,Number of meals per day,Change in your weight,Healthissueduringlockdown,Stress busters,Time utilized,Relationship with around,What you miss the most
R68,1,18,3,2,1,1,1,8,3,1,0.5,4,1,0,Dancing,1,1,Roaming around freely
R69,1,20,1.5,0,1,3,2,9,1,2,1,2,0,1,Sleep,0,1,Travelling
R70,1,19,2,0,2,2,1,8,5,0,0,4,0,0,Scrolling through social media,0,1,Roaming around freely
R71,0,20,2,0,1,3,1,6,2,0,1,4,2,0,Listening to music,0,0,Travelling
R72,1,22,6,0,1,4,0,7,2,1,0,1,2,0,Online gaming,0,0,Eating outside
R73,1,20,2,0,1,2,0,7,3,1,2,2,1,0,Reading books,0,0,"Friends , relatives"
R74,1,19,1,2,0,0.5,1,7,5,0,2,3,1,0,Many of these,0,1,"Friends , relatives"
R75,1,18,3,0,1,2,2,8,8,0,0,4,1,0,Listening to music,0,1,School/college
R76,0,19,3,2,1,5,0,5,4,9,0,2,2,1,Listening to music,1,0,Roaming around freely
R77,1,19,0,0,1,1,1,8,2,0,0,3,0,0,Listening to music,1,1,School/college
R78,1,20,3,2,0,3,0,10,10,4,4.5,3,2,0,Scrolling through social media,0,0,School/college
R79,1,20,3,4,0,0,1,8,5,2,1,3,2,0,Online surfing,0,1,School/college
R80,1,19,1,3,0,4,0,8,2,6,0,4,2,0,Web Series,1,1,Travelling
R81,1,21,5,2,0,5,0,8,7,0,1,2,2,1,Scrolling through social media,0,1,"Friends , relatives"
R82,1,21,3,3,1,2,1,10,1,2,0,3,1,0,Online gaming,0,0,Colleagues
R83,1,19,2,0,1,2,0.5,9,3,0,1,2,2,0,Online gaming,1,1,School/college
R84,1,20,0,0,0,1,1,12,2,0,2,2,2,0,Online gaming,0,1,Roaming around freely
R85,0,21,1,1,1,8,0,10,1,1,0,3,0,0,Sleep,1,1,School/college
R86,1,19,2,0,2,2,1,8,5,0,0,4,0,0,Scrolling through social media,0,1,Roaming around freely
R87,1,20,5,2,1,3,1,7,1.5,0,0,3,2,1,drawing ,1,1,School/college
R88,0,21,4,0,1,3,1,8,1,3,0,3,0,0,Meditation,0,0,All of them
